s,forward,upward,foamSource,crestMask,dForwardDs,dUpwardDs,flowSpeed,breakingWeight
67.3314,0.0140595,0.0153642,2.96906e-11,0,-0.00161025,-0.00232785,0,0
67.8006,0.0133216,0.0143068,2.23426e-11,0,-0.00153666,-0.00218319,0,0
68.2698,0.0126175,0.0133155,1.67843e-11,0,-0.0014658,-0.00204637,0,0
68.739,0.0119461,0.0123865,1.25871e-11,0,-0.00139759,-0.00191706,0,0
69.2082,0.011306,0.0115165,9.42324e-12,0,-0.00133199,-0.00179492,0,0
69.6774,0.0106961,0.0107021,7.04253e-12,0,-0.00126891,-0.00167962,0,0
70.1466,0.0101152,0.00994027,5.25424e-12,0,-0.00120829,-0.00157085,0,0
70.6158,0.00956223,0.00922799,3.9133e-12,0,-0.00115008,-0.00146831,0,0
71.085,0.00903598,0.00856239,2.90959e-12,0,-0.00109421,-0.00137171,0,0
71.5542,0.0085354,0.00794075,2.15959e-12,0,-0.0010406,-0.00128075,0,0
72.0235,0.00805946,0.00736051,1.60016e-12,0,-0.000989179,-0.00119516,0,0
72.4927,0.00760714,0.0068192,1.18362e-12,0,-0.000939903,-0.00111467,0,0
72.9619,0.00717744,0.00631448,8.73998e-13,0,-0.000892699,-0.00103903,0,0
73.4311,0.00676941,0.00584415,6.44261e-13,0,-0.000847515,-0.000967992,0,0
73.9003,0.00638212,0.0054061,4.74097e-13,0,-0.000804265,-0.000901309,0,0
74.3695,0.00601468,0.00499835,3.48278e-13,0,-0.000762889,-0.000838761,0,0
74.8387,0.00566621,0.004619,2.55409e-13,0,-0.000723359,-0.000780138,0,0
75.3079,0.00533587,0.00426625,1.8698e-13,0,-0.000685568,-0.000725198,0,0
75.7771,0.00502286,0.00393846,1.36651e-13,0,-0.000649457,-0.000673744,0,0
76.2463,0.00472641,0.003634,9.96972e-14,0,-0.00061501,-0.00062561,0,0
76.7156,0.00444573,0.00335138,7.26116e-14,0,-0.000582136,-0.000580596,0,0
77.1848,0.00418012,0.00308916,5.27938e-14,0,-0.000550782,-0.000538532,0,0
77.654,0.00392887,0.00284601,3.83188e-14,0,-0.000520902,-0.000499239,0,0
78.1232,0.0036913,0.00262067,2.77648e-14,0,-0.000492432,-0.000462554,0,0
78.5924,0.00346676,0.00241194,2.00831e-14,0,-0.000465328,-0.000428334,0,0
79.0616,0.00325463,0.00221871,1.45017e-14,0,-0.000439527,-0.000396432,0,0
79.5308,0.0030543,0.00203992,1.04535e-14,0,-0.000414977,-0.000366704,0,0
80,0.0028652,0.00187459,7.52238e-15,0,-0.000391636,-0.000339021,0,0
